org_id;restaurant_name;n_reviews;n_authors;avg_rating;med_text_len;pct_1_2;pct_5;pct_blank_author;pct_short20;pct_dup_norm_text;year_min;year_max;city;org_type
1,48341E+11;Иtle Culinary;186;169;4,231183;120.5;15,591398;70.430108;9,139785;54,301075;1.612903;2023;2025;Казань;Кафе и рестораны
1,51121E+11;Овсянки;494;448;4,194332;116.0;14,574899;64.979757;9,311741;56,882591;1.214575;2022;2025;Казань;Кафе и рестораны
1,52408E+11;Зашумел район;59;55;4,254237;95.0;16,949153;76.271186;6,779661;64,40678;1.694915;2025;2025;Казань;Кафе и рестораны
1,55603E+11;Дюран;386;350;4,520725;116.5;9,84456;81.865285;9,326425;57,772021;0.0;2023;2025;Казань;Кафе и рестораны
1,64669E+11;Igloobar;430;403;3,969767;193.5;23,255814;66.976744;6,27907;35,116279;0.465116;2022;2025;Казань;Кафе и рестораны
1,65123E+11;Artcore Esports;600;577;4,671667;84.0;8,166667;90.5;3,833333;71,5;0.0;2023;2025;Казань;Кафе и рестораны
1,65535E+11;Branch;600;538;4,583333;137.0;6,333333;79.5;10,333333;52,166667;0.0;2020;2025;Казань;Кафе и рестораны
1,69825E+11;Пицца-мицца;99;93;4,282828;43.0;11,111111;68.686869;6,060606;79,79798;1.010101;2019;2025;Казань;Кафе и рестораны
1,70224E+11;Некрасов;600;545;4,573333;110.5;5,666667;77.166667;9,166667;61,833333;0.0;2018;2025;Казань;Кафе и рестораны
1,75199E+11;For People;600;596;4,501667;194.5;10;80.833333;0,666667;19;0.0;2023;2025;Казань;Кафе и рестораны
1,91877E+11;Око;98;94;4,714286;176.5;5,102041;88.77551;4,081633;42,857143;0.0;2025;2025;Казань;Кафе и рестораны
1,9201E+11;Аппетит;143;136;4,013986;109.0;24,475524;72.027972;4,895105;60,839161;0.0;2022;2025;Казань;Кафе и рестораны
1,95167E+11;Eclair;155;136;4,367742;126.0;12,258065;74.83871;12,258065;55,483871;0.0;2023;2025;Казань;Кафе и рестораны
1,96215E+11;Кедр;391;353;4,506394;97.0;7,928389;77.493606;9,71867;65,7289;0.0;2018;2025;Казань;Кафе и рестораны
1,99782E+11;Дача;159;144;4,509434;104.0;7,54717;76.72956;9,433962;62,893082;1.257862;2023;2025;Казань;Кафе и рестораны
2,11635E+11;Тимерхан;298;272;3,493289;167.5;33,557047;49.66443;8,724832;40,604027;0.0;2021;2025;Казань;Кафе и рестораны
2,19807E+11;Пэпэ;452;409;4,378319;124.0;11,725664;74.778761;9,513274;57,079646;0.663717;2023;2025;Казань;Кафе и рестораны
2,23122E+11;Итальянское бистро Хорошим людям;600;534;4,588333;107.5;6;79.0;11;61,166667;0.666667;2018;2025;Казань;Кафе и рестораны
2,32326E+11;Лёд;166;158;4,873494;106.0;3,012048;95.180723;4,819277;62,650602;0.0;2025;2025;Казань;Кафе и рестораны
2,33627E+11;Урман;103;100;4,339806;140.0;14,563107;76.699029;2,912621;50,485437;0.0;2025;2025;Казань;Кафе и рестораны
2,40461E+11;Домъ Кофе;28;23;5;102.5;0;100.0;17,857143;64,285714;0.0;2025;2025;Казань;Кафе и рестораны
2,41861E+11;Додо Пицца;322;298;4,568323;60.0;8,074534;81.677019;7,453416;75,776398;2.173913;2023;2025;Казань;Кафе и рестораны
